id_materia,nome
FACIC39102,Contabilidade e Análise de Demonstrativos Financeiros
FACOM32101,Informática e Sociedade
FACOM32104,Introdução aos Sistemas de Informação
FACOM32105,Lógica para Computação
FACOM32102,Algoritmos e Programação I
FACOM32201,Algoritmos e Programação II
FAGEN31102,Fundamentos de Marketing
FAGEN39531,Gestão Empresarial
FAMAT39214,Cálculo I
FACOM32302,Estrutura de Dados I
FACOM32303,Arquitetura e Organização de Computadores
FACOM32305,Programação Orientada a Objetos
FAGEN39050,Empreendedorismo
FAMAT31022,Álgebra Linear
FACOM32401,Banco de Dados I
FACOM32402,Estrutura de Dados II
FACOM32403,Processo de Desenvolvimento de Software
FACOM32404,Sistemas Operacionais
FAMAT32401,Matemática para Ciência da Computação
FACOM32304,Banco de Dados II
FACOM32502,Gestão da Qualidade de Software
FACOM32503,Programação para Dispositivos Móveis
FACOM32504,Redes de Computadores
FAMAT39505,Estatística
FACOM32602,Ciência de Dados I
FACOM32603,Desenvolvimento Web I
FACOM32604,Gerência de Projetos em TI
FACOM32605,Organização e Recuperação da Informação
FACOM32606,Sistemas Distribuídos
FACOM32701,Ciência de Dados II
FACOM32702,Desenvolvimento Web II
FACOM32704,Interação Humano-Computador
FACOM32705,Pesquisa Operacional
GSI031,Economia
FACOM32804,Segurança da Informação
FADIR39802,Direito
FAGEN32802,Inovação e Gestão do Conhecimento
FACED39020,Língua Brasileira de Sinais - Libras II
FACOM39042,Bioinformática
FACOM39043,Compiladores
FACOM39044,Criptografia
FACOM39045,Análise de Algoritmos
FACOM39046,Comércio Eletrônico e Portais Corporativos
FACOM39047,Computação Gráfica
FACOM39048,Computação Móvel
FACOM39049,Data Warehouse
FACOM39050,Inteligência Artificial
FACOM39051,Modelagem de Processos de Négocios
FACOM39052,Multimídia
FACOM39053,Processamento Digital de Imagens
FACOM39054,Linguagens Formais e Autômatos
FACOM39055,Teoria da Computação
FACOM39056,Teoria dos Grafos
FACOM39057,Tópicos Especiais de Banco de Dados
FACOM39058,Tópicos Especiais de Projeto de Software
FACOM39059,Tópicos Especiais em Computação I
FACOM39060,Tópicos Especiais em Computação II
FACOM39061,Tópicos Especiais em Computação III
GSI049,Estruturas Algébricas e Teoria das Categorias
GSI051,Inteligência Artificial Aplicada aos Negócios
GSI052,Linguagens Comerciais
GSI054,Métodos Computacionais
GSI055,Mineração de Dados
GSI059,Programação Paralela e Distribuída
GSI060,Projeto de Interface de Software
GSI061,Projeto de Protocolos de Comunicação
GSI062,Projeto de Redes de Computadores
GSI063,Redes Locais Industriais
GSI064,Resolução de Problemas
GSI065,Simulação
GSI068,Tópicos de Informática na Educação
GSI069,Tópicos em Tecnologias da Internet
GSI071,Tópicos Especiais de Comércio Eletrônico
GSI072,Tópicos Especiais de Engenharia de Software
GSI073,Tópicos Especiais de Inteligência Artificial
GSI074,Tópicos Especiais de Programação Orientada a Objetos
GSI075,Tópicos Especiais de Programação para Internet
GSI077,Tópicos Especiais de Redes de Computadores
GSI078,Tópicos Especiais de Segurança da Informação
GSI079,Tópicos Especiais em Algoritmos
GSI083,Tópicos Especiais em Gestão de Projetos
GSI084,Tópicos Especiais em Lógica
LIBRAS01,Língua Brasileira de Sinais - Libras I
